英語重要表現Part1 61-80, Part2 1-10	
Your proposal is ( ) ( ) ( ) ( ). (=impossible)	out of the question
Never ( ) ( ) till tomorrow what you can do today. (=postpone)	put off
I can no longer ( ) ( ) ( ) such an indecisive man. (=bear, stand, endure)	put up with
( ) ( ) ( ) students were absent from class today. (=many)	Quite a few
( ) ( ) ( ) milk was left in the bottle. (=much)	Quite a little
He ( ) ( ) ( ) money. (=exhausted)	ran out of
He ( ) ( ) a joint venture with the company. (=established)	set up
UFO ( ) ( ) Unidentified Flying Object. (=represents)	stands for
He [( ) ( ) / ( ) ( )] an hour later. (=appeared) (2つスペース区切りで入力してください)	showed up turned up
What would you do if you had, ( ), ten thousand dollars? (=for example / for instance)	say
The rainy season has ( ) ( ). (=begun)	set in
Our task has been easy ( ) ( ), but it will be difficult from now on. (=up to now)	so far
Will you ( ) ( ) ( ) the project? (=participate in, join)	take part in
Your story ( ) ( ) to be false. (=proved)	turned out
I invited her to the party, but she ( ) ( ) my invitation. (=refused)	turned down
The concert will ( ) ( ) next month. (=be held)	take place
Please ( ) ( ) your hat in the room. (=remove)	take off
He ( ) ( ) his father in many ways. (=resembles)	takes after
You are a man of great knowledge, ( ) ( ) ( ) ( ), a walking dictionary. (=namely)	that is to say
Let's ( ) ( ) the problem together. (=solve)	work out
( ) ( ) the record, you had a checkup one month ago.	According to
You are ( ) ( ) a gentleman.	anything but
Please accept this ( ) ( ) ( ) ( ) my gratitude.	as a token of
( ) ( ) yesterday, he didn't submit his report.	As of
I fell in love with you ( ) ( ) ( ).	at a glance
You can change your password ( ) ( ).	at will
She ignored me ( ) ( ) ( ) ( ).	all of a sudden
You should ( ) ( ) him ( ) the delay.	apologize to for
I cannot ( ) ( ) you on this point.	agree with
Sometimes you look ( ) ( ) you ( ) a teacher.	as if were